Pc1.A,Pc1.R,Pc1.N,Pc1.D,Pc1.C,Pc1.E,Pc1.Q,Pc1.G,Pc1.H,Pc1.I,Pc1.L,Pc1.K,Pc1.M,Pc1.F,Pc1.P,Pc1.S,Pc1.T,Pc1.W,Pc1.Y,Pc1.V,Pc2.Hydrophobicity.1,Pc2.Hydrophilicity.1,Pc2.Hydrophobicity.2,Pc2.Hydrophilicity.2,Pc2.Hydrophobicity.3,Pc2.Hydrophilicity.3,Pc2.Hydrophobicity.4,Pc2.Hydrophilicity.4,Pc2.Hydrophobicity.5,Pc2.Hydrophilicity.5,Pc2.Hydrophobicity.6,Pc2.Hydrophilicity.6,Pc2.Hydrophobicity.7,Pc2.Hydrophilicity.7,Pc2.Hydrophobicity.8,Pc2.Hydrophilicity.8,Pc2.Hydrophobicity.9,Pc2.Hydrophilicity.9,Pc2.Hydrophobicity.10,Pc2.Hydrophilicity.10,Pc2.Hydrophobicity.11,Pc2.Hydrophilicity.11,Pc2.Hydrophobicity.12,Pc2.Hydrophilicity.12,Pc2.Hydrophobicity.13,Pc2.Hydrophilicity.13,Pc2.Hydrophobicity.14,Pc2.Hydrophilicity.14,Pc2.Hydrophobicity.15,Pc2.Hydrophilicity.15,Pc2.Hydrophobicity.16,Pc2.Hydrophilicity.16,Pc2.Hydrophobicity.17,Pc2.Hydrophilicity.17,Pc2.Hydrophobicity.18,Pc2.Hydrophilicity.18,Pc2.Hydrophobicity.19,Pc2.Hydrophilicity.19,Pc2.Hydrophobicity.20,Pc2.Hydrophilicity.20,Pc2.Hydrophobicity.21,Pc2.Hydrophilicity.21,Pc2.Hydrophobicity.22,Pc2.Hydrophilicity.22,Pc2.Hydrophobicity.23,Pc2.Hydrophilicity.23,Pc2.Hydrophobicity.24,Pc2.Hydrophilicity.24,Pc2.Hydrophobicity.25,Pc2.Hydrophilicity.25,Pc2.Hydrophobicity.26,Pc2.Hydrophilicity.26,Pc2.Hydrophobicity.27,Pc2.Hydrophilicity.27,Pc2.Hydrophobicity.28,Pc2.Hydrophilicity.28,Pc2.Hydrophobicity.29,Pc2.Hydrophilicity.29,Pc2.Hydrophobicity.30,Pc2.Hydrophilicity.30,Class
14.35591524,8.075202321,8.075202321,1.794489405,4.486223512,2.691734107,4.486223512,8.075202321,5.383468214,4.486223512,15.25315994,9.869691726,2.691734107,5.383468214,6.280712916,14.35591524,2.691734107,3.588978809,3.588978809,8.972447024,0.006495873,0.003821847,0.001666911,0.000328649,0.003759464,0.004623276,0.0016835,0.002616643,-0.003998473,-0.002270054,0.001602812,0.001603195,0.004591632,0.004087481,0.001802555,0.000647285,0.005868071,0.005280665,0.004228881,0.003155418,0.004321641,0.002857665,-0.000989196,0.000271291,0.0044856,0.003697007,-0.000462026,-0.001788275,0.00267752,9.15E-05,0.002372852,0.002085674,-0.001859775,0.004086193,-0.00468407,-0.002047604,-0.009280608,-0.003713276,0.007166998,0.003343579,0.000563019,-0.001496345,0.011691867,0.004133424,0.004593235,0.002334649,0.003050439,0.002267866,0.000716911,0.001090382,0.003869691,0.002292223,0.001823342,0.000215257,-0.00061759,7.33E-05,0.001893071,0.003551103,-0.003842931,0.000324029,extracell
25.93500783,18.78052291,26.82931845,36.66673521,16.99190168,36.66673521,32.19518214,41.13828829,27.72362906,28.61793968,35.7724246,45.60984136,7.154484919,22.35776537,34.87811398,44.71553075,47.39846259,6.260174304,14.30896984,25.93500783,-1.54E-05,0.001534894,0.001358731,0.002696104,0.001858854,0.002188812,-0.000120522,0.002563585,-0.004527765,-0.000468445,0.000106182,0.001289882,-3.02E-05,0.000251408,0.003269133,0.005511946,0.003606279,0.003767515,0.003211239,0.00162957,0.00288909,0.003629723,0.003063693,0.003504537,-0.000267168,0.002304336,-0.001438564,-0.000110796,0.003083344,0.003441988,-0.000877597,0.001879451,-0.000607976,-6.23E-05,0.002966974,0.005638595,0.00383089,0.004770245,0.001610858,0.00401568,0.002271846,0.000961893,0.002137173,0.001283688,0.003244332,0.004631412,-0.000794656,0.002190583,-0.001544759,0.000239342,0.000150148,0.001498126,0.000134135,0.000528062,0.001970889,0.004534027,0.001540909,0.001765051,0.002526226,0.003474156,extracell
32.20698493,55.46758516,81.4121008,38.46945422,6.262469292,71.57107762,76.93890845,80.51746233,27.73379258,28.62843105,53.67830822,47.41583893,18.78740788,38.46945422,139.5636014,83.20137774,52.78366975,13.41957705,42.94264657,32.20698493,0.004159139,0.00541057,0.000303335,0.001563173,8.47E-05,6.69E-05,-0.000616492,-0.000944706,0.002350269,0.002794468,0.003173233,0.003258473,0.004759154,0.004565072,0.001967189,0.002791391,0.001799687,0.001461477,-0.00102404,-0.001117212,-0.001848062,0.000603818,0.002211846,0.00201845,0.002544801,0.003250472,0.003383609,0.004484336,0.002583927,0.003260327,0.002727088,0.003896006,-0.000937218,0.000131218,-0.000729891,-0.000122757,0.000493946,0.000897962,0.002085492,0.004009961,0.002320112,0.002785857,0.000304025,0.001101878,0.000530286,0.000536818,0.002412042,0.001441857,0.00127435,0.002317895,0.000592521,0.001021817,0.001601315,0.001567162,0.001909877,0.002936267,0.001845651,0.002174209,0.001874042,0.003062408,extracell
25.24836253,13.67619637,1.052015105,8.416120844,3.156045316,9.468135949,17.88425679,16.83224169,5.260075527,4.208060422,25.24836253,5.260075527,2.104030211,11.57216616,10.52015105,11.57216616,12.62418127,2.104030211,6.312090633,17.88425679,-0.000248718,0.001956259,-0.000117195,-0.001890142,0.005495648,-0.002059825,0.000713795,-0.002771446,-0.001412782,0.000645196,-0.003034236,0.000547443,0.000531154,0.001247548,-0.005615567,-0.005854197,-0.001792484,-0.001864435,0.00273225,-3.23E-05,0.002846153,0.001664244,-0.005808239,0.001950067,-0.004248979,-0.000760633,-0.000494558,-0.002598378,-0.003010335,-0.001655482,-0.005896963,-0.003651412,0.000222788,-0.001687896,0.000947516,0.001347821,-0.002201173,-0.005681409,-0.003518584,-0.003923877,0.002436854,-0.000484335,0.001990024,0.00337045,-0.005962022,-0.001984741,0.003772886,0.003046042,0.001271821,-3.82E-05,-0.002915204,0.000783141,-0.001246339,-0.001369638,-0.009379896,-0.004798897,0.001881916,-0.000652076,0.003108499,0.004137976,extracell
53.09097565,59.28492281,29.20003661,61.9394716,18.58184148,58.40007322,38.93338215,137.1516871,18.58184148,37.16368296,58.40007322,46.0121789,11.50304472,34.50913417,78.75161389,46.89702849,39.81823174,4.424247971,15.9272927,53.09097565,0.00061551,0.003672779,-0.003249258,0.002394727,0.005644113,0.005683125,-0.001317928,0.004506423,-0.002105872,0.002635222,0.002306264,0.003301467,-0.001028949,0.003049647,-0.002273631,0.003379153,0.001971013,0.005759501,-0.005216683,0.000411336,-8.18E-05,0.003413608,0.001779222,0.005082487,-0.002517637,0.002204246,3.76E-05,0.0024312,0.004497861,0.004875881,-0.000576683,0.004902655,-0.001370115,0.004253955,0.00275924,0.00403146,-0.000942489,0.003939321,0.001352184,0.006247937,0.004109234,0.002958965,-0.005194395,0.002752211,-0.001525003,0.001725081,0.003440461,0.005992643,-0.003150682,0.002649073,-0.001174187,0.003759354,0.002914088,0.004548343,0.000498202,0.004131992,-0.00047195,0.005190032,0.001957416,0.003581439,extracell
57.99961,31.8997855,40.599727,41.56638717,7.733281333,44.46636767,22.23318383,51.23298883,12.56658217,30.93312533,68.63287183,48.33300833,13.53324233,44.46636767,29.96646517,54.13296933,42.53304733,10.63326183,27.06648467,54.13296933,-0.001784454,0.000362243,-0.001960895,-0.001807394,0.001561907,0.000613859,0.001422699,0.001969582,0.002254346,0.001787995,0.000693602,0.001197341,-0.000829675,-0.001053914,0.001036212,0.001204798,0.003177231,0.001769447,0.001427145,0.001616048,0.003598738,0.002861358,0.001081718,7.00E-05,0.000260673,0.001290006,-0.000349135,0.000966079,0.000269462,3.48E-05,0.001071867,0.00175474,9.56E-05,0.000943218,-0.001627884,0.000424081,-0.001077999,0.000169699,-0.001110911,-0.000568228,0.002129757,0.005028586,0.000427456,-0.0001391,-0.00104112,-0.001326974,-0.00109838,9.11E-05,0.00419323,0.00166046,-0.000200909,-0.000806867,-0.00097959,-0.000188411,-0.001643545,0.001336901,0.000276475,-9.98E-05,-0.000521431,0.001425882,extracell
9.62471124,11.68714936,8.937231865,24.0617781,1.374958749,43.99867995,17.87446373,6.874793743,12.37462874,11.68714936,35.06144809,33.68648934,8.249752491,10.99966999,10.31219061,8.249752491,13.06210811,2.062438123,6.874793743,11.68714936,-0.001248019,0.00123753,0.002981783,0.005742973,0.004985879,0.013200402,7.17E-05,0.004669532,0.005343588,0.00947529,0.002869764,0.007640036,0.000897949,0.004921161,0.004489214,0.009815088,0.002062095,0.007332035,0.001061175,0.005776263,0.0068574,0.012580414,0.001436082,0.004829835,0.006680615,0.00851272,0.006336617,0.014352313,0.004010521,0.005238677,-0.000104092,0.005644696,0.003823809,0.008423708,0.003618951,0.009030316,0.003259382,0.00875871,-0.000725873,0.004744758,0.001268516,0.00623355,0.002704167,0.008097963,0.001418738,0.007190518,0.002867038,0.005581371,0.002688331,0.009631838,0.003575703,0.006724048,0.002375563,0.009457763,0.008217427,0.013018692,0.000384094,0.003055092,0.001447414,0.005947806,extracell
63.31165962,42.85712343,31.16881704,37.01297024,32.14284258,39.93504684,28.24674045,54.54542983,8.766229793,15.58440852,64.28568515,44.8051745,5.844153196,31.16881704,34.09089364,48.70127663,30.19479151,9.740255326,20.45453618,48.70127663,0.003582877,0.005057253,-0.002438332,-0.000450963,0.00284678,0.00307623,-0.004145341,-0.001450128,-0.001123325,-0.002334668,-0.002435649,-0.002258699,-0.00338747,-0.001374752,-0.000138338,-6.60E-05,0.000936129,0.002496523,-0.002681776,-0.000120247,-0.001892179,-3.35E-05,0.002335766,0.001747925,0.001898367,0.002904051,0.004420198,0.002287761,0.000138934,0.001491442,-0.003451782,0.001172254,-0.000412862,-8.95E-05,-0.002648366,-0.00065468,-0.005869527,-0.000589211,0.00380789,0.006500007,0.003769669,0.002913204,0.000171188,0.00202687,0.002613904,0.005329758,0.002036414,0.002911364,-0.002487769,0.001279584,0.001745005,0.001272715,-0.001305103,0.000892764,-0.000931692,-0.001213999,-0.001413327,-0.001602708,-0.000500749,0.001814359,extracell
24.7174366,10.29893192,41.19572766,14.41850468,9.269038724,29.86690256,22.65765022,26.77722298,4.119572766,27.80711617,48.40498001,21.62775702,11.32882511,16.47829107,12.3587183,42.22562086,26.77722298,4.119572766,20.59786383,30.89679575,-0.001221393,0.000925136,0.002689303,-0.00060623,0.000857557,-0.001111439,0.004256848,0.001210458,-0.00107999,-0.000714253,-0.001800113,-0.002340878,-0.004167279,-0.003168681,0.000750791,0.000788162,-0.004739692,-0.002771864,-0.000136484,0.000936711,0.000866707,0.00087322,-0.000579431,-0.00029504,-0.002084154,-0.001859599,-2.63E-05,0.000942534,0.002924044,0.003716458,-0.003273963,0.000464065,-0.000509548,-0.002400297,-0.001584075,-0.003270447,0.001507553,0.00162352,-0.008049817,-0.004072343,-0.00076453,-0.002225217,-0.000769319,-0.000273086,0.000628969,0.00190862,-0.002015851,0.000791245,0.001101403,0.000500914,0.001334031,0.001132688,0.000354642,-0.000706958,-0.002302489,-0.001193574,0.002413412,0.001854802,-0.001880066,-0.00325257,extracell
9.326796197,13.56624901,2.54367169,5.935233944,5.935233944,5.935233944,7.63101507,7.63101507,0.847890563,3.391562254,16.95781127,5.08734338,3.391562254,1.695781127,5.935233944,6.783124507,8.478905634,1.695781127,3.391562254,6.783124507,0.00127235,0.001858177,-0.005144221,-0.004566086,0.008991207,0.007905903,0.018922506,0.010295661,-0.002876607,-0.001408325,-0.005048727,-0.005545613,0.009319923,0.007509187,0.012441186,0.008912583,-0.005897182,-0.003804353,0.004100754,0.003694968,0.007238154,0.005477105,0.004758528,0.00145637,-0.00010272,0.002561521,-0.002044413,0.001863829,0.008945862,0.004033315,0.00500347,0.005629514,0.001593375,0.004387782,0.001447199,-0.000360184,0.008675609,0.002827127,-0.001297699,0.000793514,-0.002605708,0.002701119,-4.01E-05,0.001807563,0.008185922,0.004629099,-0.006968765,0.00468405,-0.001857238,-0.000303497,0.007788856,0.002838476,0.009012784,0.008225816,-0.005797993,0.001310182,-0.004467566,-0.004219485,0.004728441,-0.001363098,extracell
